FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,ICT,False,False,2025,2021.0,0.0,-4.0,2211.0,0.0,82.0,109.0,110.0,542.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4256,C5,20445,C5,N12201,4256,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12278,1227805,30928,"Wichita, KS",KS,20,Kansas,62,0.0,-1.0,2000-2059,21.0,2042.0,2204.0,7.0,2214,-3.0,0.0,-1.0,2200-2259,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",ECP,IAH,False,False,1232,1220.0,0.0,-12.0,1415.0,0.0,99.0,128.0,115.0,572.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4255,C5,20445,C5,N11192,4255,11481,1148102,31481,"Panama City, FL",FL,12,Florida,33,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1200-1259,11.0,1231.0,1410.0,5.0,1440,-25.0,0.0,-2.0,1400-1459,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,SGF,False,False,1731,1732.0,1.0,1.0,2024.0,0.0,81.0,121.0,112.0,637.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4253,C5,20445,C5,N16151,4253,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14783,1478302,34783,"Springfield, MO",MO,29,Missouri,64,0.0,0.0,1700-1759,26.0,1758.0,2019.0,5.0,2032,-8.0,0.0,-1.0,2000-2059,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,LNK,False,False,1541,1606.0,25.0,25.0,1826.0,16.0,60.0,89.0,80.0,423.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4252,C5,20445,C5,N24103,4252,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,13029,1302902,33029,"Lincoln, NE",NE,31,Nebraska,65,1.0,1.0,1500-1559,16.0,1622.0,1822.0,4.0,1810,16.0,1.0,1.0,1800-1859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,LFT,False,False,1635,1631.0,0.0,-4.0,1746.0,7.0,41.0,64.0,75.0,201.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4251,C5,20445,C5,N14203,4251,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12951,1295106,32951,"Lafayette, LA",LA,22,Louisiana,72,0.0,-1.0,1600-1659,27.0,1658.0,1739.0,7.0,1739,7.0,0.0,0.0,1700-1759,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",AEX,IAH,False,False,700,655.0,0.0,-5.0,807.0,0.0,44.0,87.0,72.0,190.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4250,C5,20445,C5,N16183,4250,10185,1018502,30185,"Alexandria, LA",LA,22,Louisiana,72,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,19.0,714.0,758.0,9.0,827,-20.0,0.0,-2.0,0800-0859,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,SGF,False,False,1330,1849.0,319.0,319.0,2141.0,315.0,83.0,116.0,112.0,637.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4249,C5,20445,C5,N17146,4249,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14783,1478302,34783,"Springfield, MO",MO,29,Missouri,64,1.0,12.0,1300-1359,24.0,1913.0,2136.0,5.0,1626,315.0,1.0,12.0,1600-1659,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,LNK,False,False,1047,1045.0,0.0,-2.0,1303.0,0.0,55.0,91.0,78.0,423.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4248,C5,20445,C5,N14177,4248,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,13029,1302902,33029,"Lincoln, NE",NE,31,Nebraska,65,0.0,-1.0,1000-1059,15.0,1100.0,1255.0,8.0,1318,-15.0,0.0,-1.0,1300-1359,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,ICT,False,False,940,945.0,5.0,5.0,1130.0,0.0,81.0,112.0,105.0,542.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4245,C5,20445,C5,N24128,4245,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12278,1227805,30928,"Wichita, KS",KS,20,Kansas,62,0.0,0.0,0900-0959,20.0,1005.0,1126.0,4.0,1132,-2.0,0.0,-1.0,1100-1159,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,CRP,False,False,1832,1825.0,0.0,-7.0,1925.0,0.0,40.0,66.0,60.0,201.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4244,C5,20445,C5,N27200,4244,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,11140,1114008,31140,"Corpus Christi, TX",TX,48,Texas,74,0.0,-1.0,1800-1859,15.0,1840.0,1920.0,5.0,1938,-13.0,0.0,-1.0,1900-1959,1,0
